root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.746259 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 206524, win 512, length 0
20:32:01.746302 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 208916:209072, ack 109, win 501, length 156
20:32:01.746445 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 209072:209332, ack 109, win 501, length 260
20:32:01.746924 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 209332:209488, ack 109, win 501, length 156
20:32:01.747032 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 209488:209644, ack 109, win 501, length 156
20:32:01.747093 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 209644:209800, ack 109, win 501, length 156
20:32:01.747142 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 209800:209956, ack 109, win 501, length 156
20:32:01.747195 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 209956:210112, ack 109, win 501, length 156
20:32:01.747244 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 210112:210268, ack 109, win 501, length 156
20:32:01.747259 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 207148, win 510, length 0
20:32:01.747331 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 210268:210528, ack 109, win 501, length 260
20:32:01.747381 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 210528:210684, ack 109, win 501, length 156
20:32:01.747430 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 210684:210840, ack 109, win 501, length 156
20:32:01.747542 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 210840:210996, ack 109, win 501, length 156
20:32:01.747594 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 210996:211152, ack 109, win 501, length 156
20:32:01.747644 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 211152:211308, ack 109, win 501, length 156
20:32:01.747754 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 211308:211464, ack 109, win 501, length 156
20:32:01.747813 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 211464:211620, ack 109, win 501, length 156
20:32:01.747864 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 211620:211776, ack 109, win 501, length 156
20:32:01.747877 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 208500, win 512, length 0
20:32:01.747943 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 211776:212036, ack 109, win 501, length 260
20:32:01.747992 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212036:212192, ack 109, win 501, length 156
20:32:01.748043 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212192:212348, ack 109, win 501, length 156
20:32:01.748251 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212348:212504, ack 109, win 501, length 156
20:32:01.748328 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212504:212660, ack 109, win 501, length 156
20:32:01.748399 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212660:212816, ack 109, win 501, length 156
20:32:01.748454 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212816:212972, ack 109, win 501, length 156
20:32:01.748506 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 212972:213128, ack 109, win 501, length 156
20:32:01.748556 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 213128:213284, ack 109, win 501, length 156
20:32:01.748609 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 213284:213440, ack 109, win 501, length 156
20:32:01.748662 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 213440:213596, ack 109, win 501, length 156
20:32:01.748729 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 213596:213752, ack 109, win 501, length 156
20:32:01.748800 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 213752:213908, ack 109, win 501, length 156
20:32:01.748856 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 213908:214064, ack 109, win 501, length 156
20:32:01.748909 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 214064:214220, ack 109, win 501, length 156
20:32:01.748980 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 214220:214376, ack 109, win 501, length 156
20:32:01.749039 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 214376:214532, ack 109, win 501, length 156
20:32:01.749090 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 214532:214688, ack 109, win 501, length 156
20:32:01.749144 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 214688:214844, ack 109, win 501, length 156
20:32:01.749457 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 209072, win 510, length 0
20:32:01.749500 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 214844:215000, ack 109, win 501, length 156
20:32:01.749758 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 215000:215260, ack 109, win 501, length 260
20:32:01.749829 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 215260:215416, ack 109, win 501, length 156
20:32:01.749883 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 215416:215572, ack 109, win 501, length 156
20:32:01.749935 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 215572:215728, ack 109, win 501, length 156
20:32:01.749987 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 215728:215884, ack 109, win 501, length 156
20:32:01.750233 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 210996, win 512, length 0
20:32:01.750312 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 215884:216144, ack 109, win 501, length 260
20:32:01.750591 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 212192, win 508, length 0
20:32:01.750612 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 216144:216300, ack 109, win 501, length 156
20:32:01.750711 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 216300:216560, ack 109, win 501, length 260
20:32:01.750822 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 216560:216716, ack 109, win 501, length 156
20:32:01.750894 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 216716:216872, ack 109, win 501, length 156
20:32:01.750946 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 216872:217028, ack 109, win 501, length 156
20:32:01.751034 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217028:217184, ack 109, win 501, length 156
20:32:01.751088 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217184:217340, ack 109, win 501, length 156
20:32:01.751138 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217340:217496, ack 109, win 501, length 156
20:32:01.751203 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217496:217652, ack 109, win 501, length 156
20:32:01.751278 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217652:217808, ack 109, win 501, length 156
20:32:01.751330 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217808:217964, ack 109, win 501, length 156
20:32:01.751537 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 217964:218120, ack 109, win 501, length 156
20:32:01.751906 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 218120:218276, ack 109, win 501, length 156
20:32:01.751985 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 218276:218432, ack 109, win 501, length 156
20:32:01.752054 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 218432:218588, ack 109, win 501, length 156
20:32:01.752100 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 218588:218744, ack 109, win 501, length 156
20:32:01.752153 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 218744:218900, ack 109, win 501, length 156
20:32:01.752214 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 218900:219056, ack 109, win 501, length 156
20:32:01.752755 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 214220, win 512, length 0
20:32:01.752755 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 215884, win 512, length 0
20:32:01.752755 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 216300, win 511, length 0
20:32:01.752806 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 219056:219212, ack 109, win 501, length 156
20:32:01.752839 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 217496, win 512, length 0
20:32:01.753017 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 219212:219776, ack 109, win 501, length 564
20:32:01.753088 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 219776:219932, ack 109, win 501, length 156
20:32:01.753145 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 219932:220088, ack 109, win 501, length 156
20:32:01.754964 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 217964, win 511, length 0
20:32:01.754964 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 219056, win 512, length 0
20:32:01.755128 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 220088:220244, ack 109, win 501, length 156
20:32:01.755209 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 220244:220420, ack 109, win 501, length 176
20:32:01.755427 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 220420:221016, ack 109, win 501, length 596
20:32:01.755548 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221016:221172, ack 109, win 501, length 156
20:32:01.755592 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221172:221208, ack 109, win 501, length 36
20:32:01.755697 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221208:221364, ack 109, win 501, length 156
20:32:01.755754 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221364:221400, ack 109, win 501, length 36
20:32:01.755768 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 220088, win 508, length 0
20:32:01.755818 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221400:221556, ack 109, win 501, length 156
20:32:01.755884 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221556:221592, ack 109, win 501, length 36
20:32:01.755901 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221592:221748, ack 109, win 501, length 156
20:32:01.755941 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221748:221784, ack 109, win 501, length 36
20:32:01.756001 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221784:221940, ack 109, win 501, length 156
20:32:01.756073 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221940:221976, ack 109, win 501, length 36
20:32:01.756107 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 221976:222116, ack 109, win 501, length 140
20:32:01.756150 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222116:222152, ack 109, win 501, length 36
20:32:01.756203 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222152:222308, ack 109, win 501, length 156
20:32:01.756249 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222308:222344, ack 109, win 501, length 36
20:32:01.756303 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222344:222500, ack 109, win 501, length 156
20:32:01.756368 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222500:222536, ack 109, win 501, length 36
20:32:01.756413 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222536:222692, ack 109, win 501, length 156
20:32:01.756478 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222692:222728, ack 109, win 501, length 36
20:32:01.756517 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222728:222884, ack 109, win 501, length 156
20:32:01.756677 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 222884:223304, ack 109, win 501, length 420
20:32:01.756714 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 223304:223460, ack 109, win 501, length 156
20:32:01.756780 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 223460:223616, ack 109, win 501, length 156
20:32:01.756815 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 223616:223652, ack 109, win 501, length 36
20:32:01.756875 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 223652:223928, ack 109, win 501, length 276
20:32:01.756976 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 223928:224572, ack 109, win 501, length 644
20:32:01.757077 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 224572:225096, ack 109, win 501, length 524
20:32:01.757171 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 225096:225500, ack 109, win 501, length 404
20:32:01.757252 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 225500:225656, ack 109, win 501, length 156
20:32:01.757312 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 225656:225812, ack 109, win 501, length 156
20:32:01.757372 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 225812:225968, ack 109, win 501, length 156
20:32:01.757431 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 225968:226124, ack 109, win 501, length 156
20:32:01.757488 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 226124:226280, ack 109, win 501, length 156
20:32:01.757602 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 226280:226436, ack 109, win 501, length 156
20:32:01.757854 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 226436:226592, ack 109, win 501, length 156
20:32:01.757952 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 226592:226748, ack 109, win 501, length 156
20:32:01.758018 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 226748:226904, ack 109, win 501, length 156
20:32:01.758271 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 226904:227060, ack 109, win 501, length 156
20:32:01.758446 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 227060:227216, ack 109, win 501, length 156
20:32:01.758517 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 221208, win 512, length 0
20:32:01.758517 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 221976, win 509, length 0
20:32:01.758562 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 222692, win 512, length 0
20:32:01.758575 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 227216:227372, ack 109, win 501, length 156
20:32:01.758676 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 227372:227840, ack 109, win 501, length 468
20:32:01.758826 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 227840:227996, ack 109, win 501, length 156
20:32:01.758986 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 223928, win 508, length 0
20:32:01.759026 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 227996:228152, ack 109, win 501, length 156
20:32:01.759167 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 228152:228412, ack 109, win 501, length 260
20:32:01.759233 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 228412:228568, ack 109, win 501, length 156
20:32:01.759275 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 228568:228724, ack 109, win 501, length 156
20:32:01.759327 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 228724:228880, ack 109, win 501, length 156
20:32:01.759384 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 228880:229036, ack 109, win 501, length 156
20:32:01.759440 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229036:229192, ack 109, win 501, length 156
20:32:01.759501 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229192:229348, ack 109, win 501, length 156
20:32:01.759559 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229348:229504, ack 109, win 501, length 156
20:32:01.759622 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229504:229660, ack 109, win 501, length 156
20:32:01.759771 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229660:229816, ack 109, win 501, length 156
20:32:01.759932 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229816:229972, ack 109, win 501, length 156
20:32:01.759995 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 229972:230128, ack 109, win 501, length 156
20:32:01.760059 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 230128:230284, ack 109, win 501, length 156
20:32:01.760114 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 230284:230440, ack 109, win 501, length 156
20:32:01.760188 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 230440:230596, ack 109, win 501, length 156
20:32:01.760215 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 225812, win 512, length 0
20:32:01.760296 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 230596:230856, ack 109, win 501, length 260
20:32:01.760370 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 230856:231012, ack 109, win 501, length 156
20:32:01.760432 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 231012:231168, ack 109, win 501, length 156
20:32:01.760491 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 227216, win 512, length 0
20:32:01.760504 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 231168:231324, ack 109, win 501, length 156
20:32:01.760588 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 231324:231584, ack 109, win 501, length 260
20:32:01.760661 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 231584:231740, ack 109, win 501, length 156
20:32:01.760764 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 231740:231896, ack 109, win 501, length 156
20:32:01.760818 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 231896:232052, ack 109, win 501, length 156
20:32:01.760846 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [P.], seq 109:145, ack 227216, win 512, length 36
20:32:01.760902 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 232052:232328, ack 145, win 501, length 276
20:32:01.760947 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 232328:232484, ack 145, win 501, length 156
20:32:01.760988 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 232484:232640, ack 145, win 501, length 156
20:32:01.761028 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 232640:232796, ack 145, win 501, length 156
20:32:01.761070 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 232796:232952, ack 145, win 501, length 156
20:32:01.761115 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 232952:233108, ack 145, win 501, length 156
20:32:01.761360 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 233108:233264, ack 145, win 501, length 156
20:32:01.761429 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 233264:233420, ack 145, win 501, length 156
20:32:01.761474 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 233420:233576, ack 145, win 501, length 156
20:32:01.761516 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 233576:233732, ack 145, win 501, length 156
